SimTime	Autoindex	Register	Registerwert
29	7	CANvelocity	56.7611
29	7	CANlaneid	0
29	8	CANvelocity	44.5238
29	8	CANlaneid	0
29	9	CANvelocity	30.9233
29	9	CANlaneid	0
29	10	CANvelocity	9.09353
29	10	CANlaneid	0
30	0	CANvelocity	117.791
30	0	CANlaneid	0
30	1	CANvelocity	118.513
30	1	CANlaneid	0
30	2	CANvelocity	118.817
30	2	CANlaneid	0
30	3	CANvelocity	111.497
30	3	CANlaneid	0
30	4	CANvelocity	106.182
30	4	CANlaneid	0
30	5	CANvelocity	94.7584
30	5	CANlaneid	0
30	6	CANvelocity	80.5745
30	6	CANlaneid	0
30	7	CANvelocity	62.2202
30	7	CANlaneid	0
30	8	CANvelocity	50.9463
30	8	CANlaneid	0
30	9	CANvelocity	37.0024
30	9	CANlaneid	0
30	10	CANvelocity	16.0982
30	10	CANlaneid	0
31	0	CANvelocity	119.386
31	0	CANlaneid	0
31	1	CANvelocity	117.991
31	1	CANlaneid	0
31	2	CANvelocity	119.93
31	2	CANlaneid	0
31	3	CANvelocity	114.875
31	3	CANlaneid	0
31	4	CANvelocity	111.409
31	4	CANlaneid	0
31	5	CANvelocity	99.8641
31	5	CANlaneid	0
31	6	CANvelocity	85.39
31	6	CANlaneid	0
31	7	CANvelocity	68.6544
31	7	CANlaneid	0
31	8	CANvelocity	55.0266
31	8	CANlaneid	0
31	9	CANvelocity	41.7073
31	9	CANlaneid	0
31	10	CANvelocity	24.1461
31	10	CANlaneid	0
31	11	CANvelocity	1.02673
31	11	CANlaneid	0
32	0	CANvelocity	118.656
32	0	CANlaneid	0
32	1	CANvelocity	118.724
32	1	CANlaneid	0
32	2	CANvelocity	119.016
32	2	CANlaneid	0
32	3	CANvelocity	117.604
32	3	CANlaneid	0
32	4	CANvelocity	116.194
32	4	CANlaneid	0
32	5	CANvelocity	102.946
32	5	CANlaneid	0
32	6	CANvelocity	90.6455
32	6	CANlaneid	0
32	7	CANvelocity	74.837
32	7	CANlaneid	0
32	8	CANvelocity	59.5495
32	8	CANlaneid	0
32	9	CANvelocity	49.3562
32	9	CANlaneid	0
32	10	CANvelocity	31.4761
32	10	CANlaneid	0
32	11	CANvelocity	6.34072
32	11	CANlaneid	0
33	0	CANvelocity	119.934
33	0	CANlaneid	0
33	1	CANvelocity	118.736
33	1	CANlaneid	0
33	2	CANvelocity	119.269
33	2	CANlaneid	0
33	3	CANvelocity	118.989
33	3	CANlaneid	0
33	4	CANvelocity	118.378
33	4	CANlaneid	0
33	5	CANvelocity	107.105
33	5	CANlaneid	0
33	6	CANvelocity	96.1585
33	6	CANlaneid	0
33	7	CANvelocity	78.5759
33	7	CANlaneid	0
33	8	CANvelocity	65.5236
33	8	CANlaneid	0
33	9	CANvelocity	56.8029
33	9	CANlaneid	0
33	10	CANvelocity	37.3175
33	10	CANlaneid	0
33	11	CANvelocity	14.2863
33	11	CANlaneid	0
34	0	CANvelocity	118.163
34	0	CANlaneid	0
34	1	CANvelocity	119.538
34	1	CANlaneid	0
34	2	CANvelocity	117.8
